OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
1,2012/06/07,11-1,0.1,0.09,0.08
2,2012/06/09,11-2,0.19,0.19,0.17
3,2012/07/17,11-2,0.31,0.31,0.28
4,2012/06/12,11-3,0.19,0.18,0.16
5,2012/06/17,11-5,0.18,0.16,0.14
6,2012/06/22,11-6,0.25,0.23,0.21
7,2012/06/23,11-7,0.34,0.49,0.44
8,2012/06/25,11-8,0.06,0.06,0.05
9,2012/06/27,11-9,0.08,0.07,0.06
10,2012/06/29,11-10,0.43,0.45,0.4
11,2012/07/03,11-11,0.23,0.26,0.23
12,2012/07/05,11-12,0.03,0.03,0.02
13,2012/07/05,11-12,0.34,0.4,0.36
14,2012/07/08,11-13,0.27,0.24,0.22
15,2012/07/10,11-14,0.27,0.42,0.37
16,2012/07/13,11-15,0.09,0.08,0.07
17,2012/07/14,11-16,0.24,0.27,0.24
18,2012/06/07,12-1,0.12,0.1,0.08
19,2012/07/17,12-2,0.24,0.26,0.23
20,2012/06/12,12-3,0.24,0.22,0.18
21,2012/06/17,12-5,0.16,0.13,0.11
22,2012/06/22,12-6,0.16,0.15,0.13
23,2012/06/23,12-7,0.31,0.41,0.35
24,2012/06/25,12-9,0.17,0.2,0.17
25,2012/06/27,12-11,0.02,0.03,0.02
26,2012/07/05,12-12,0.2,0.16,0.14
27,2012/07/08,12-13,0.22,0.19,0.16
28,2012/07/10,12-14,0.03,0.03,0.03
29,2012/07/13,12-15,0.09,0.09,0.07
30,2012/07/14,12-16,0.08,0.08,0.07
31,2012/07/17,13-2,0.34,0.28,0.29
32,2012/06/12,13-3,0.24,0.16,0.16
33,2012/06/15,13-4,0.38,0.3,0.31
34,2012/06/17,13-5,0.3,0.23,0.23
35,2012/06/22,13-6,0.35,0.37,0.38
36,2012/06/23,13-7,0.51,0.53,0.54
37,2012/06/25,13-8,0.54,0.64,0.65
38,2012/07/03,13-11,0.3,0.26,0.26
39,2012/07/05,13-12,0.11,0.11,0.11
40,2012/07/08,13-13,0.1,0.08,0.08
41,2012/07/10,13-14,0.23,0.16,0.16
42,2012/07/14,13-16,0.06,0.05,0.05
43,2012/06/23,13-7B,0.56,0.74,0.75
44,2012/06/07,14-1,0.1,0.1,0.08
45,2012/07/17,14-2,0.12,0.12,0.1
46,2012/06/12,14-3,0.17,0.16,0.12
47,2012/06/15,14-4,0.12,0.11,0.09
48,2012/06/17,14-5,0.17,0.16,0.13
49,2012/06/22,14-6,0.17,0.18,0.14
50,2012/06/23,14-7,0.08,0.07,0.06
51,2012/06/25,14-8,0.07,0.08,0.06
52,2012/06/29,14-10,0.06,0.06,0.05
53,2012/07/03,14-11,0.01,0.01,0.01
54,2012/07/05,14-12,0.06,0.06,0.05
55,2012/07/08,14-13,0.02,0.03,0.02
56,2012/07/10,14-14,0.03,0.04,0.03
57,2012/07/13,14-15,0.14,0.13,0.1
58,2012/07/14,14-16,0.36,0.37,0.29
59,2012/06/07,21-1,0.05,0.04,0.04
60,2012/07/17,21-2,0.32,0.29,0.31
61,2012/06/12,21-3,0.55,0.9,0.97
62,2012/06/15,21-4,0.46,0.41,0.44
63,2012/06/17,21-5,0.39,0.76,0.82
64,2012/06/22,21-6,0.14,0.12,0.13
65,2012/06/23,21-7,0.47,0.44,0.48
66,2012/06/27,21-9,0.05,0.04,0.05
67,2012/07/03,21-11,0.03,0.02,0.03
68,2012/07/05,21-12,0.37,0.47,0.51
69,2012/07/08,21-13,0.34,0.33,0.36
70,2012/07/10,21-14,0.05,0.03,0.04
71,2012/07/13,21-15,0.24,0.21,0.23
72,2012/07/14,21-16,0.15,0.11,0.12
73,2012/07/17,22-2,0.19,0.16,0.16
74,2012/06/12,22-3,0.38,0.37,0.38
75,2012/06/15,22-4,0.25,0.21,0.2
76,2012/06/17,22-5,0.32,0.28,0.27
77,2012/06/22,22-6,0.5,0.57,0.54
78,2012/06/23,22-7,0.33,0.34,0.35
79,2012/06/29,22-10,0.29,0.27,0.26
80,2012/07/03,22-11,0.08,0.07,0.07
81,2012/07/08,22-13,0,0,0
82,2012/07/10,22-14,0.04,0.04,0.04
83,2012/07/14,22-16,0.09,0.07,0.07
84,2012/07/17,23-2,0.39,0.45,0.41
85,2012/06/12,23-3,0.35,0.42,0.38
86,2012/06/15,23-4,0.1,0.07,0.06
87,2012/06/17,23-5,0.17,0.14,0.13
88,2012/06/22,23-6,0.11,0.12,0.11
89,2012/06/23,23-7,0.4,0.33,0.3
90,2012/06/25,23-8,0.33,0.33,0.3
91,2012/06/27,23-9,0.31,0.26,0.23
92,2012/06/29,23-10,0.35,0.35,0.32
93,2012/07/03,23-11,0.47,0.5,0.45
94,2012/07/05,23-12,0.43,0.47,0.42
95,2012/07/08,23-13,0.05,0.04,0.04
96,2012/07/13,23-15,0.45,0.39,0.36
97,2012/07/17,24-2,0.1,0.08,0.07
98,2012/06/12,24-3,0.19,0.18,0.16
99,2012/06/15,24-4,0.09,0.09,0.08
100,2012/06/17,24-5,0.15,0.14,0.12
101,2012/06/22,24-6,0.09,0.1,0.08
102,2012/06/23,24-7,0.1,0.09,0.08
